0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Hernan Perez,Jay Bruce,Jay Bruce,Jay Bruce,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jay Bruce,Jay Bruce,Jay Bruce,Jay Bruce,Jay Bruce,Jay Bruce,Jonathan Schoop,Jason Hammel,Jay Bruce,Jonathan Schoop,Miguel Cabrera,Ian Kinsler,Jonathan Schoop,Brandon Moss,Jonathan Schoop,Danny Espinosa,Darwin Barney,Ryan Rua,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jason Hammel,Jay Bruce,Jonathan Schoop
Chris Davis,Jason Hammel,Chris Davis,Jason Hammel,Paul Goldschmidt,Jason Hammel,Chris Davis,Paul Goldschmidt,Chris Davis,Paul Goldschmidt,Paul Goldschmidt,Chris Davis,Jason Hammel,Chris Davis,Jason Hammel,Sean Rodriguez,Jason Hammel,Jason Hammel,Chris Davis,Paul Goldschmidt,Chris Davis,Chris Davis,Paul Goldschmidt,Jason Hammel,Jason Hammel,Jason Hammel,Jonathan Schoop,Paul Goldschmidt,Jason Hammel,Jason Hammel,Paul Goldschmidt,Paul Goldschmidt,Chris Davis,Jason Hammel,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Jason Hammel,Jason Hammel,Chris Davis,Ariel Miranda,Paul Goldschmidt,Myles Jaye,Paul Goldschmidt,Chris Davis,Paul Goldschmidt,Jason Hammel,Jason Hammel
Starling Marte,Kevin Pillar,Adam Frazier,Seth Smith,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Benjamin Gamel,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,JaCoby Jones,Paul Goldschmidt,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte,Starling Marte
Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Brandon Crawford,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Starling Marte,Timothy Anderson,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus,Elvis Andrus
Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jay Bruce,Jay Bruce,Trey Mancini,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jonathan Schoop,Jay Bruce,Ryan Goins,Jonathan Schoop,Carlos Gonzalez,Jay Bruce,Jay Bruce,Yandy Diaz,Jonathan Schoop,Jay Bruce,Jay Bruce,Jay Bruce,Jonathan Schoop,Alex Presley,Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jay Bruce,Jonathan Schoop,Jay Bruce,Jay Bruce,Jonathan Schoop,Jonathan Schoop,Jay Bruce
Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Jason Hammel,Yan Gomes,Jonathan Lucroy,Jason Hammel,Jason Hammel,Jason Hammel,Mike Zunino,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Jason Hammel,Chris Iannetta,Chris Iannetta,Jason Hammel,Chris Iannetta,Chris Iannetta,Chris Iannetta,Jay Bruce,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Jason Hammel,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Jason Hammel,Jason Hammel,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta,Chris Iannetta
Carlos Carrasco,Andrew McCutchen,Andrew McCutchen,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Chris Iannetta,Carlos Carrasco,Carlos Carrasco,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Peter Bourjos,Carlos Carrasco,Carlos Carrasco,Chris Iannetta,Andrew McCutchen,Carlos Carrasco,James McCann,Carlos Carrasco,Carlos Carrasco,Carlos Carrasco,Chris Iannetta,Andrew McCutchen,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Chris Iannetta,Carlos Carrasco,Carlos Carrasco,Carlos Carrasco,Carlos Carrasco,Chris Iannetta,Chris Iannetta,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Marco Estrada,Myles Jaye,Steven Brault
Jason Hammel,Paul Goldschmidt,Jason Hammel,Chris Davis,Chris Davis,Chris Davis,Jason Hammel,Chris Davis,Paul Goldschmidt,Andrew McCutchen,Jason Hammel,Jason Hammel,Chris Davis,Jason Hammel,Trevor Plouffe,Jason Hammel,Chris Davis,Chris Davis,Jason Hammel,Carlos Carrasco,Jason Hammel,Jason Hammel,Carlos Carrasco,Chris Davis,Evan Longoria,Chris Davis,Carlos Carrasco,Jason Hammel,Chris Davis,Chris Davis,Jason Hammel,Andrew McCutchen,Jason Hammel,Chris Davis,Jason Hammel,Jason Hammel,Andrew McCutchen,Carlos Carrasco,Matt Davidson,Chris Davis,Jason Hammel,Chris Davis,Ubaldo Jimenez,Chris Davis,Steven Brault,Jason Hammel,Chris Davis,Paul Goldschmidt,Chris Davis
Andrew McCutchen,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Andrew McCutchen,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Chris Davis,Andrew McCutchen,Guillermo Heredia,Ryan Rua,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Andrew McCutchen,Will Middlebrooks,Carlos Carrasco,Andrew McCutchen,Chris Davis,Andrew McCutchen,Andrew McCutchen,Andrew McCutchen,Chris Davis,Carlos Carrasco,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Chris Davis,Andrew McCutchen,Andrew McCutchen,Andrew McCutchen,Andrew McCutchen,Chris Davis,Chris Davis,Andrew McCutchen,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Carlos Carrasco,Andrew McCutchen,Andrew McCutchen,Kenta Maeda,Jay Bruce,Andrew McCutchen,Andrew McCutchen
Paul Goldschmidt,Chris Davis,Paul Goldschmidt,Paul Goldschmidt,Welington Castillo,Paul Goldschmidt,Paul Goldschmidt,Wilson Ramos,Chris Iannetta,Carlos Carrasco,Chris Davis,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Paul Goldschmidt,Cody Bellinger,Josh Donaldson,Andrew McCutchen,Jose Abreu,Paul Goldschmidt,Andrew McCutchen,Eric Hosmer,Chris Davis,Paul Goldschmidt,Andrew McCutchen,Chris Davis,Paul Goldschmidt,Paul Goldschmidt,Chris Davis,Carlos Carrasco,Paul Goldschmidt,Mike Moustakas,Chris Davis,Chris Davis,Carlos Carrasco,Andrew McCutchen,Chris Davis,Rougned Odor,Trevor Plouffe,Paul Goldschmidt,Chris Davis,Paul Goldschmidt,Chris Davis,Paul Goldschmidt,Andrew McCutchen,Chris Davis,Paul Goldschmidt
